id,card_number,expiration_date,cvv
1,5229368261842996,2029-08,175
2,3536706590325972,2028-11,901
3,3549292264486395,2029-06,906
4,5602212825509252,2029-09,877
5,201643728867239,2029-04,550
6,5002351294129816,2028-05,288
7,4405861673965842,2028-04,859
8,3563959450539564,2026-09,575
9,3588307607929091,2028-01,155
10,4178330112355622,2028-11,338
11,5010127559448004,2025-04,16
12,6759046516017913,2029-11,754
13,5596109086000112,2029-10,892
14,3587586164127303,2028-10,539
15,6759631808516308,2030-05,930
16,5602222763328110,2025-06,213
17,3534602336461829,2024-11,271
18,5020516059120030818,2027-01,280
19,5475044114884839,2027-01,577
20,374622497800002,2028-07,723
21,4917325100331102,2027-05,201
22,676788501535994547,2027-08,889
23,5464911515213748,2029-02,36
24,4041599701752,2027-06,501
25,5002354281440717,2026-10,361
26,3535556077096682,2028-03,366
27,3570046533668270,2025-09,453
28,3576797819521500,2025-12,626
29,4844581159091934,2025-03,968
30,5602220936126381166,2027-11,950
31,3578978935759236,2030-10,782
32,67091440723037559,2025-06,84
33,4041371923015661,2027-08,967
34,5250544763206847,2029-06,525
35,3581809305296472,2030-01,38
36,5509219208076399,2027-01,630
37,6394839402045092,2029-07,861
38,3573737072265489,2028-06,821
39,3560054784546478,2030-05,970
40,6394816990610362,2026-12,883
41,5048371181462977,2029-10,628
42,4936729677959483690,2025-03,653
43,372302486765589,2028-09,307
44,3576796475044542,2029-06,925
45,0604259306191836,2028-07,432
46,3544870238226420,2030-02,813
47,3581909761247223,2028-04,182
48,633110958939856245,2027-11,470
49,3584961381522128,2026-10,633
50,503867996669006367,2030-04,492
51,4041592836761,2026-07,783
52,4508113980183289,2028-02,510
53,3557034825894439,2025-02,434
54,5100144889896985,2028-01,342
55,6389468608170798,2025-01,619
56,56022531739020584,2030-06,304
57,201585436969320,2025-05,289
58,3567491387022569,2025-12,573
59,56022141323137198,2029-06,702
60,3584436756945162,2025-03,546
61,3586801591424129,2029-01,867
62,0604849088746185411,2026-04,567
63,5602224224196913804,2026-06,919
64,4905668024502283962,2029-10,752
65,201669147817570,2030-06,613
66,4405259329435817,2028-07,467
67,5318556583879553,2029-09,42
68,4017950994988,2027-01,605
69,30181007350756,2030-10,812
70,3553722571223605,2030-04,785
71,5602231404738736,2025-06,736
72,6380680912866197,2027-03,529
73,5518982749683200,2030-06,550
74,3588027384825904,2025-07,746
75,3556193472532295,2028-09,394
76,3574264339538052,2026-05,120
77,5048374130302153,2026-11,923
78,201880929940452,2027-01,599
79,6333137643641661493,2026-10,102
80,3557366431244934,2030-08,301
81,3555377712884159,2030-03,663
82,5048379995427748,2025-04,118
83,3531325948138774,2030-06,576
84,3575089050948654,2028-11,636
85,4017958893893,2030-03,562
86,3556368500376432,2026-10,555
87,4026442374536965,2025-06,21
88,6771705490783579205,2027-09,922
89,3589274363425244,2026-09,688
90,30359582839902,2030-09,239
91,5602250771605229,2029-11,689
92,3548687164538735,2025-10,737
93,3546186333518993,2027-04,908
94,5173364122817000,2026-07,666
95,3532615107394120,2027-11,687
96,675951514602521849,2030-09,748
97,5100136748610540,2028-02,372
98,3589867911925522,2027-01,811
99,3536898893709968,2029-11,660
100,5412406620861682,2027-02,791
101,3555908852628533,2028-10,472
102,30029072616884,2026-10,759
103,6706476904297666,2027-05,29
104,201963674276767,2030-09,826
105,560223064361076771,2027-11,189
106,5117813280227435,2028-11,158
107,560222157871152883,2029-02,57
108,3544861928137308,2030-05,31
109,3531979667870288,2024-11,815
110,3589066368119701,2026-04,808
111,3580769360774527,2026-11,266
112,3569353056378557,2028-01,571
113,5602236302741278,2026-12,179
114,374622747515384,2028-06,540
115,5002353556569705,2025-10,800
116,201513708212013,2027-07,181
117,3555002964325707,2026-08,827
118,3571456837360731,2026-10,47
119,3579294067340863,2025-01,618
120,3579549897200367,2026-12,568
121,5602212108812928,2024-12,200
122,5002353312697816,2030-04,714
123,3554626544484286,2025-03,356
124,4844610057225078,2027-03,73
125,3557469301428791,2028-09,583
126,372301404146765,2027-09,149
127,30160364725727,2027-03,74
128,5100179107983801,2026-12,348
129,502004650882446217,2027-02,787
