id,name_on_card,card_number,expiration_date,cvv,merchant_id,user_id
1,Suki Wrefford,5229368261842996,2029-08-01,175,10,1
2,Viole Snailham,3536706590325972,2028-11-01,901,11,2
3,Viole Snailham,3536706590325972,2028-11-01,901,12,2
4,Herb Wild,3549292264486395,2029-06-01,906,7,3
5,Herb Wild,3549292264486395,2029-06-01,906,15,3
6,Herb Wild,3549292264486395,2029-06-01,906,13,3
7,Herb Wild,3549292264486395,2029-06-01,906,19,3
8,Herb Wild,3549292264486395,2029-06-01,906,8,3
9,Herb Wild,3549292264486395,2029-06-01,906,4,3
10,Herb Wild,3549292264486395,2029-06-01,906,5,3
11,Ferdy Le Barr,5602212825509252,2029-09-01,877,4,4
12,Valentin Adan,201643728867239,2029-04-01,550,10,5
13,Valentin Adan,201643728867239,2029-04-01,550,16,5
14,Flem Harrigan,5002351294129816,2028-05-01,288,9,6
15,Flem Harrigan,5002351294129816,2028-05-01,288,1,6
16,Flem Harrigan,5002351294129816,2028-05-01,288,12,6
17,Flem Harrigan,5002351294129816,2028-05-01,288,5,6
18,Nester Gianetti,4405861673965842,2028-04-01,859,13,7
19,Nester Gianetti,4405861673965842,2028-04-01,859,19,7
20,Nester Gianetti,4405861673965842,2028-04-01,859,15,7
21,Nester Gianetti,4405861673965842,2028-04-01,859,11,7
22,Nester Gianetti,4405861673965842,2028-04-01,859,17,7
23,Stevy Backshaw,3563959450539564,2026-09-01,575,6,8
24,Stevy Backshaw,3563959450539564,2026-09-01,575,11,8
25,Stevy Backshaw,3563959450539564,2026-09-01,575,13,8
26,Stevy Backshaw,3563959450539564,2026-09-01,575,5,8
27,Gavrielle Gawkroge,3588307607929091,2028-01-01,155,17,9
28,Gavrielle Gawkroge,3588307607929091,2028-01-01,155,12,9
29,Gavrielle Gawkroge,3588307607929091,2028-01-01,155,2,9
30,Gavrielle Gawkroge,3588307607929091,2028-01-01,155,16,9
31,Gavrielle Gawkroge,3588307607929091,2028-01-01,155,8,9
32,Gavrielle Gawkroge,3588307607929091,2028-01-01,155,9,9
33,Constance Ludvigsen,4178330112355622,2028-11-01,338,8,10
34,Constance Ludvigsen,4178330112355622,2028-11-01,338,7,10
35,Constance Ludvigsen,4178330112355622,2028-11-01,338,19,10
36,Constance Ludvigsen,4178330112355622,2028-11-01,338,17,10
37,Constance Ludvigsen,4178330112355622,2028-11-01,338,5,10
